"anio","mes","tot_Extorsion","tot_Homicidio","tot_Resto","tot_Robo_vehi","tot_Secuestro","tot_incid","tot_pob","tasa_incid","tasa_homic","tasa_extor","tasa_secue"
1997,1,68,1410,110769,12306,79,124632,94720541,131.578640371152,1.4885894707886,0.0717901305061169,0.0834032398526947
1997,2,72,1406,108550,11192,70,121290,94720541,128.050366604219,1.4843665219353,0.0760130793594179,0.0739016049327674
1997,3,63,1551,113487,11960,66,127127,94720541,134.212704718399,1.63744841786746,0.0665114444394907,0.0696786560794664
1997,4,64,1371,117117,11728,75,130355,94720541,137.620624443013,1.44741571946892,0.0675671816528159,0.0791802909993937
1997,5,60,1432,117266,11625,109,130492,94720541,137.765260441238,1.51181568948176,0.0633442327995149,0.115075356252452
1997,6,68,1400,115676,11660,106,128910,94720541,136.095084169758,1.47803209865535,0.0717901305061169,0.111908144612476
1997,7,63,1274,107629,12121,92,121179,94720541,127.93317977354,1.34500920977637,0.0665114444394907,0.0971278236259229
1997,8,70,1325,101789,13421,83,116688,94720541,123.191863948497,1.39885180765596,0.0739016049327674,0.0876261887059957
1997,9,70,1329,104575,13519,145,119638,94720541,126.306288727806,1.40307475650926,0.0739016049327674,0.153081895932161
1997,10,85,1364,108093,14089,91,123722,94720541,130.617919507026,1.44002555897564,0.0897376631326462,0.0960720864125977
1997,11,74,1473,98721,14315,79,114662,94720541,121.0529403543,1.55510091522809,0.0781245537860684,0.0834032398526947
1997,12,119,1531,96764,13782,52,112248,94720541,118.504390721333,1.61633367360096,0.125632728385705,0.0548983350929129
1998,1,86,1314,94597,15082,64,111143,96116960,115.633078699118,1.36708443546279,0.089474323782192,0.0665855432797708
1998,2,76,1189,94275,13606,71,109217,96116960,113.629270006043,1.23703454624449,0.0790703326447278,0.0738683370759957
1998,3,102,1447,105311,14025,83,120968,96116960,125.854999991677,1.50545751759107,0.106120709602135,0.0863531264409528
1998,4,59,1379,98578,12689,72,112777,96116960,117.33309085098,1.43471037785631,0.0613835477110387,0.0749087361897422
1998,5,80,1423,102751,12976,50,117280,96116960,122.01800806018,1.48048793886115,0.0832319290997135,0.0520199556873209
1998,6,72,1323,103960,12905,53,118313,96116960,123.09274034468,1.37644802748651,0.0749087361897422,0.0551411530285602
1998,7,81,1215,101773,12912,75,116056,96116960,120.744559544954,1.2640849232019,0.0842723282134599,0.0780299335309814
1998,8,86,1116,98915,13159,63,113339,96116960,117.917795152905,1.161085410941,0.089474323782192,0.0655451441660244
1998,9,105,1149,98774,12990,45,113063,96116960,117.630644997511,1.19541858169464,0.109241906943374,0.0468179601185889
1998,10,98,938,104632,11767,59,117494,96116960,122.240653470522,0.975894368694141,0.101959113147149,0.0613835477110387
1998,11,85,837,98798,11041,47,110808,96116960,115.284544996013,0.870814058205753,0.0884339246684456,0.0488987583460817
1998,12,90,886,93156,10345,52,104529,96116960,108.751878960799,0.921793614779327,0.0936359202371777,0.0541007539148138
1999,1,236,1203,97945,13564,50,112998,97482584,115.916090201302,1.23406658978182,0.242094526341239,0.0512912132078895
1999,2,255,1209,96920,13090,37,111511,97482584,114.390689520499,1.24022153536677,0.261585187360237,0.0379554977738382
1999,3,277,1268,109446,14078,48,125117,97482584,128.34805445863,1.30074516695208,0.284153321171708,0.0492395646795739
1999,4,245,1152,103128,12506,51,117082,97482584,120.105556496122,1.18174955230977,0.251326944718659,0.0523170374720473
1999,5,324,1271,107020,13144,45,121804,97482584,124.949498671476,1.30382263974455,0.332367061587124,0.0461620918871006
1999,6,298,1146,102938,12535,44,116961,97482584,119.981431760159,1.17559460672483,0.305695630719022,0.0451362676229428
1999,7,323,1192,99705,12635,47,113902,97482584,116.843435336101,1.22278252287609,0.331341237322966,0.0482137404154162
1999,8,322,1262,104809,12648,51,119092,97482584,122.16746326708,1.29459022136713,0.330315413058809,0.0523170374720473
1999,9,303,1212,101445,12667,57,115684,97482584,118.67145417483,1.24329900815924,0.310824752039811,0.0584719830569941
1999,10,284,1254,102070,13431,60,117099,97482584,120.122995508613,1.28638362725387,0.291334091020812,0.0615494558494674
1999,11,261,1159,97724,12728,46,111918,97482584,114.808199996012,1.18893032215888,0.267740132945183,0.0471879161512584
1999,12,263,1291,92711,12980,54,107299,97482584,110.069917719867,1.32433912502771,0.269791781473499,0.0553945102645207
2000,1,94,1249,93292,11997,33,106665,98785275,107.976618984965,1.2643584785283,0.0951558822911613,0.0334057884639183
2000,2,103,1226,97313,13165,43,111850,98785275,113.225376960281,1.24107565626557,0.10426655187223,0.0435287546651057
2000,3,106,1175,105151,14281,46,120759,98785275,122.243927548919,1.18944852863952,0.107303441732586,0.0465656445254619
2000,4,93,1123,95245,11999,33,108493,98785275,109.827097206542,1.13680910439334,0.0941435856710426,0.0334057884639183
2000,5,109,1123,103428,13115,55,117830,98785275,119.278910748591,1.13680910439334,0.110340331592942,0.0556763141065306
2000,6,97,1011,100867,13170,57,115202,98785275,116.618595230919,1.02343188294004,0.0981927721515175,0.057700907346768
2000,7,102,1154,102070,13666,67,117059,98785275,118.498430054479,1.16819029961702,0.103254255252111,0.0678238735479554
2000,8,98,1096,101906,13758,98,116956,98785275,118.394163502607,1.10947709565014,0.0992050687716363,0.0992050687716363
2000,9,111,1232,100018,13178,38,114577,98785275,115.985909843345,1.24714943598628,0.11236492483318,0.038467271564512
2000,10,94,1110,103337,13933,37,118511,98785275,119.968284746892,1.1236492483318,0.0951558822911613,0.0374549749443933
2000,11,78,1141,98778,13198,47,113242,98785275,114.634493855486,1.15503044355548,0.0789591363692615,0.0475779411455807
2000,12,83,1209,92479,12762,37,106570,98785275,107.880450806054,1.22386661372355,0.0840206194698552,0.0374549749443933
2001,1,118,1200,100206,13125,36,114685,100105299,114.564364869436,1.19873774114595,0.117875877879352,0.0359621322343785
2001,2,94,1115,99295,11833,47,112384,100105299,112.265785250789,1.11382715114811,0.0939011230564328,0.0469505615282164
2001,3,116,1217,109441,13171,46,123991,100105299,123.860576052023,1.21571985914552,0.115877981644109,0.0459516134105948
2001,4,101,1210,102630,12072,31,116044,100105299,115.921935361284,1.20872722232217,0.100893759879784,0.0309673916462704
2001,5,121,1233,112248,13064,39,126705,100105299,126.571721243248,1.23170302902746,0.120872722232217,0.0389589765872434
2001,6,93,1202,108713,12421,39,122468,100105299,122.339178068885,1.20073563738119,0.0929021749388112,0.0389589765872434
